"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"24/01/2025 00:00:00 - 24/01/2025 00:15:00","BZN|NL","0.00","0.00"," ","0.00"
"24/01/2025 00:15:00 - 24/01/2025 00:30:00","BZN|NL","0.00","0.00"," ","0.00"
"24/01/2025 00:30:00 - 24/01/2025 00:45:00","BZN|NL","0.00","0.00"," ","0.00"
"24/01/2025 00:45:00 - 24/01/2025 01:00:00","BZN|NL","0.00","0.00"," ","0.00"
"24/01/2025 01:00:00 - 24/01/2025 01:15:00","BZN|NL","0.00","0.00"," ","0.00"
"24/01/2025 01:15:00 - 24/01/2025 01:30:00","BZN|NL","0.00","0.00"," ","0.00"
"24/01/2025 01:30:00 - 24/01/2025 01:45:00","BZN|NL","0.00","0.00"," ","0.00"
"24/01/2025 01:45:00 - 24/01/2025 02:00:00","BZN|NL","0.00","0.00"," ","0.00"
"24/01/2025 02:00:00 - 24/01/2025 02:15:00","BZN|NL","0.00","0.00"," ","0.00"
"24/01/2025 02:15:00 - 24/01/2025 02:30:00","BZN|NL","0.00","0.00"," ","0.00"
"24/01/2025 02:30:00 - 24/01/2025 02:45:00","BZN|NL","0.00","0.00"," ","0.00"
"24/01/2025 02:45:00 - 24/01/2025 03:00:00","BZN|NL","0.00","0.00"," ","0.00"
"24/01/2025 03:00:00 - 24/01/2025 03:15:00","BZN|NL","0.00","0.00"," ","0.00"
"24/01/2025 03:15:00 - 24/01/2025 03:30:00","BZN|NL","0.00","0.00"," ","0.00"
"24/01/2025 03:30:00 - 24/01/2025 03:45:00","BZN|NL","0.00","0.00"," ","0.00"
"24/01/2025 03:45:00 - 24/01/2025 04:00:00","BZN|NL","0.00","0.00"," ","0.00"
"24/01/2025 04:00:00 - 24/01/2025 04:15:00","BZN|NL","0.00","0.00"," ","0.00"
"24/01/2025 04:15:00 - 24/01/2025 04:30:00","BZN|NL","0.00","0.00"," ","0.00"
"24/01/2025 04:30:00 - 24/01/2025 04:45:00","BZN|NL","0.00","0.00"," ","0.00"
"24/01/2025 04:45:00 - 24/01/2025 05:00:00","BZN|NL","0.00","0.00"," ","0.00"
"24/01/2025 05:00:00 - 24/01/2025 05:15:00","BZN|NL","0.00","0.00"," ","0.00"
"24/01/2025 05:15:00 - 24/01/2025 05:30:00","BZN|NL","0.00","0.00"," ","0.00"
"24/01/2025 05:30:00 - 24/01/2025 05:45:00","BZN|NL","0.00","0.00"," ","0.00"
"24/01/2025 05:45:00 - 24/01/2025 06:00:00","BZN|NL","0.00","0.00"," ","0.00"
